gps_epoch_s,pc_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770713188.0,1770716788.089,57.834474,12.307359833333331,57.83447672031611,12.307363919592927,4.175,2.5,2.5,0.5832417987981837,6,6,Reverse,84.0,6.262499999999999,1
1770713189.0,1770716789.094,57.834465,12.307359666666665,57.834470860158056,12.307361793129795,4.175,2.5,2.5,0.765017565919148,6,6,Reverse,84.1,6.262499999999999,1
1770713190.0,1770716790.097,57.83446349999999,12.307355166666666,57.834467180079024,12.30735847989823,4.175,2.5,2.5,0.8861498388077943,6,6,Reverse,84.0,6.262499999999999,1
1770713191.0,1770716791.091,57.83445633333334,12.307352,57.83446175670618,12.307355239949116,4.175,2.5,2.5,1.0843184519377105,6,6,Reverse,84.0,6.262499999999999,1
1770713192.0,1770716792.097,57.83445383333333,12.3073545,57.83445779501975,12.307354869974558,4.175,2.5,2.5,1.190959186419949,6,6,Reverse,83.8,6.262499999999999,1
1770713193.0,1770716793.101,57.83444783333333,12.307344166666667,57.834452814176544,12.307349518320612,4.175,2.5,2.5,1.4207290938272914,6,6,Reverse,84.0,6.262499999999999,1
1770713194.0,1770716794.095,57.83444716666666,12.307349833333335,57.834449990421604,12.307349675826973,2.925,2.5,2.5,1.450713125674411,7,7,Reverse,83.7,4.387499999999999,1
1770713195.0,1770716795.089,57.83445166666667,12.307352333333332,57.834450828544135,12.307351004580154,3.9000000000000004,2.5,2.5,1.3647830278357245,6,6,Reverse,83.5,5.8500000000000005,1
1770713196.0,1770716796.093,57.83445283333334,12.307351333333335,57.83445183093874,12.307351168956744,3.9000000000000004,2.5,2.5,1.1987623779481247,6,6,Reverse,83.3,5.8500000000000005,1
1770713197.0,1770716797.098,57.83446666666667,12.307343333333332,57.8344592488027,12.307347251145037,3.9000000000000004,2.5,2.5,1.078680985777617,6,6,Reverse,83.6,5.8500000000000005,1
