gps_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712286.003,57.83444883333333,12.307269333333332,57.83444528406255,12.307269448125883,3.025,2.5,2.5,0.42642412244926214,7,7,Reverse,73.7,4.5375,1
1770712287.006,57.83444899999999,12.307270999999998,57.834447142031266,12.307270224062941,3.025,2.5,2.5,0.3632493938305168,7,7,Reverse,73.9,4.5375,1
1770712288.001,57.83444433333334,12.3072725,57.8344457376823,12.30727136203147,3.025,2.5,2.5,0.4964676153954549,7,7,Reverse,73.9,4.5375,1
1770712289.002,57.83444716666666,12.307271666666669,57.83444645217448,12.30727151434907,3.025,2.5,2.5,0.39097609815401435,7,7,Reverse,73.8,4.5375,1
1770712290.0,57.83444533333333,12.307271833333335,57.834445892753905,12.307271673841202,3.025,2.5,2.5,0.3869364502615667,7,7,Reverse,73.9,4.5375,1
1770712290.995,57.83444633333333,12.307270999999998,57.83444611304362,12.3072713369206,3.025,2.5,2.5,0.36754655903202554,7,7,Reverse,73.8,4.5375,1
1770712292.008,57.83444633333333,12.307270666666666,57.83444622318848,12.307271001793634,3.025,2.5,2.5,0.3676768628442984,7,7,Reverse,73.8,4.5375,1
1770712293.006,57.83445133333333,12.307269666666665,57.8344487782609,12.307270334230148,3.025,2.5,2.5,0.37082481494853886,7,7,Reverse,73.7,4.5375,1
1770712293.999,57.834453,12.307269666666665,57.83445088913045,12.307270000448407,3.025,2.5,2.5,0.3768257430967406,7,7,Reverse,73.8,4.5375,1
1770712295.002,57.8344565,12.307268166666665,57.83445369456523,12.307269083557536,3.025,2.5,2.5,0.39129428139675226,7,7,Reverse,73.8,4.5375,1
1770712295.998,57.83445416666667,12.307267999999999,57.83445393061595,12.307268541778768,3.025,2.5,2.5,0.39180858066629465,7,7,Reverse,73.9,4.5375,1
1770712297.007,57.834456,12.307268500000001,57.83445496530798,12.307268520889384,3.025,2.5,2.5,0.3577441014461221,7,7,Reverse,73.8,4.5375,1
1770712297.989,57.83445433333333,12.307269333333332,57.834454649320655,12.307268927111359,3.025,2.5,2.5,0.3673089731631765,7,7,Reverse,73.9,4.5375,1
1770712299.002,57.83445749999999,12.307269333333332,57.834456074660324,12.307269130222345,3.025,2.5,2.5,0.28631857723866067,7,7,Reverse,74.0,4.5375,1
1770712299.996,57.83445916666666,12.307268833333334,57.83445762066349,12.30726898177784,3.025,2.5,2.5,0.21666570153212167,7,7,Reverse,74.4,4.5375,1
1770712301.0,57.8344595,12.307268666666667,57.83445856033175,12.307268824222254,3.025,2.5,2.5,0.21472965030291224,7,7,Reverse,74.8,4.5375,1
1770712301.996,57.834464,12.307267833333333,57.83446128016587,12.307268328777793,3.025,2.5,2.5,0.21041846818349022,7,7,Reverse,75.3,4.5375,1
1770712303.001,57.834462833333326,12.3072705,57.8344620567496,12.307269414388896,3.025,2.5,2.5,0.29961705188372834,7,7,Reverse,75.6,4.5375,1
1770712303.996,57.834462,12.307268833333334,57.8344620283748,12.307269123861115,3.025,2.5,2.5,0.2502866753378165,7,7,Reverse,75.5,4.5375,1
1770712305.001,57.83445700000001,12.307268333333331,57.8344595141874,12.307268728597222,3.025,2.5,2.5,0.3922600796682151,7,7,Reverse,75.5,4.5375,1
1770712306.005,57.83445,12.307263666666666,57.8344547570937,12.307266197631945,3.025,2.5,2.5,0.7244234441964448,7,7,Reverse,75.6,4.5375,1
1770712307.001,57.834448,12.307265500000002,57.83445137854685,12.307265848815973,3.025,2.5,2.5,0.8856404345303026,7,7,Reverse,75.8,4.5375,1
1770712307.995,57.83445133333333,12.307257666666665,57.83445135594009,12.307261757741319,3.025,2.5,2.5,0.9216944508783702,7,7,Reverse,75.8,4.5375,1
1770712308.999,57.83445100000001,12.307249000000002,57.834451177970045,12.30725537887066,3.025,2.5,2.5,1.030033585920074,7,7,Reverse,75.8,4.5375,1
1770712310.004,57.83445216666667,12.3072435,57.83445167231836,12.30724943943533,3.025,2.5,2.5,1.1159025588748068,7,7,Reverse,76.0,4.5375,1
1770712310.998,57.83445266666666,12.307244833333334,57.83445216949251,12.307247136384332,3.025,2.5,2.5,1.0480718319693418,7,7,Reverse,76.1,4.5375,1
1770712312.002,57.83445333333334,12.307251166666667,57.834452751412925,12.3072491515255,3.025,2.5,2.5,0.8758682654094436,7,7,Reverse,76.2,4.5375,1
1770712312.997,57.83445466666667,12.307246833333332,57.8344537090398,12.307247992429415,3.025,2.5,2.5,0.834904986810192,7,7,Reverse,76.4,4.5375,1
1770712314.003,57.83445216666667,12.307246999999998,57.834452937853236,12.307247496214707,3.025,2.5,2.5,0.7180605337517607,7,7,Reverse,76.5,4.5375,1
1770712314.998,57.83444716666666,12.3072395,57.83445005225995,12.307243498107354,3.025,2.5,2.5,0.7763955805159941,7,7,Reverse,76.5,4.5375,1
1770712316.002,57.8344495,12.307237666666667,57.83444977612997,12.30724058238701,3.025,2.5,2.5,0.7017549890166647,7,7,Reverse,76.5,4.5375,1
1770712316.997,57.83445516666667,12.307242166666667,57.83445247139832,12.30724137452684,3.025,2.5,2.5,0.7193991836360831,7,7,Reverse,76.5,4.5375,1
