timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562891.9732466,57.83445517,12.30721467,57.83446437,12.30722389,3.019,2.500,1.870,2.20,5,5,Reverse
1770562892.9643621,57.83445617,12.30719750,57.83446027,12.30721069,3.019,2.500,1.870,2.86,5,5,Reverse
1770562893.957715,57.83444033,12.30719617,57.83445030,12.30720343,3.019,2.500,1.870,3.47,5,5,Reverse
1770562894.966564,57.83444400,12.30719950,57.83444715,12.30720147,2.552,2.500,1.380,1.94,6,6,Stopped
1770562895.9509075,57.83445750,12.30719800,57.83445233,12.30719973,2.552,2.500,1.380,1.64,6,6,Stopped
1770562896.9700997,57.83445733,12.30720300,57.83445483,12.30720137,2.552,2.500,1.380,1.35,6,6,Stopped
1770562897.9513726,57.83444850,12.30722067,57.83445166,12.30721102,2.552,2.500,1.380,0.07,6,6,Forward
1770562898.9705522,57.83444133,12.30723633,57.83444650,12.30722367,2.552,2.500,1.380,0.63,6,6,Forward
1770562899.9504948,57.83443717,12.30724300,57.83444183,12.30723334,2.552,2.500,1.380,0.62,6,6,Forward
1770562900.9539442,57.83442583,12.30723900,57.83443383,12.30723617,2.552,2.500,1.380,1.26,6,6,Stopped
1770562901.9690595,57.83442700,12.30723833,57.83443042,12.30723725,2.552,2.500,1.380,0.87,6,6,Stopped
1770562902.9527788,57.83443117,12.30725233,57.83443079,12.30724479,2.552,2.500,1.380,0.34,6,6,Forward
1770562903.9602888,57.83442183,12.30726750,57.83442631,12.30725615,2.552,2.500,1.380,0.99,6,6,Forward
1770562904.9663336,57.83442167,12.30727483,57.83442399,12.30726549,2.552,2.500,1.380,1.08,6,6,Forward
1770562905.959002,57.83441783,12.30728517,57.83442091,12.30727533,2.552,2.500,1.380,1.20,6,6,Forward
1770562906.9565082,57.83441017,12.30728000,57.83441554,12.30727766,2.552,2.500,1.380,0.88,6,6,Stopped
1770562907.972813,57.83440900,12.30728417,57.83441227,12.30728092,2.552,2.500,1.380,0.55,6,6,Stopped
1770562908.966589,57.83440750,12.30728000,57.83440988,12.30728046,2.552,2.500,1.380,0.20,6,6,Stopped
