timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561709.980372,57.83435550,12.30726067,57.83435515,12.30725911,2.381,2.500,1.200,0.20,6,6
1770561710.9749956,57.83435750,12.30725133,57.83435633,12.30725522,2.381,2.500,1.200,0.84,6,6
1770561711.9802752,57.83435383,12.30725100,57.83435508,12.30725311,2.381,2.500,1.200,0.71,6,6
1770561712.9747987,57.83434967,12.30724483,57.83435237,12.30724897,2.381,2.500,1.200,1.55,6,6
1770561713.9707594,57.83434667,12.30723483,57.83434952,12.30724190,2.381,2.500,1.200,1.93,6,6
1770561714.9730747,57.83434167,12.30722950,57.83434559,12.30723570,2.381,2.500,1.200,2.07,6,6
1770561715.9728787,57.83432550,12.30721750,57.83433555,12.30722660,2.381,2.500,1.200,3.50,6,6
1770561716.9680192,57.83431883,12.30719000,57.83432719,12.30720830,2.971,2.500,1.820,3.84,5,5
1770561717.9732442,57.83431933,12.30717150,57.83432326,12.30718990,2.971,2.500,1.820,3.54,5,5
1770561718.967644,57.83432050,12.30715317,57.83432188,12.30717153,2.971,2.500,1.820,3.40,5,5
1770561719.9731042,57.83431883,12.30714417,57.83432036,12.30715785,2.971,2.500,1.820,3.10,5,5
1770561720.9781222,57.83432500,12.30713733,57.83432268,12.30714759,2.971,2.500,1.820,2.49,5,5
1770561721.9734485,57.83433533,12.30713983,57.83432901,12.30714371,2.971,2.500,1.820,1.69,5,5
1770561722.9710708,57.83434517,12.30714300,57.83433709,12.30714336,2.381,2.500,1.200,1.08,6,6
1770561723.9760702,57.83435983,12.30718517,57.83434846,12.30716426,2.438,2.500,1.260,1.22,5,5
1770561724.9753382,57.83437183,12.30719350,57.83436015,12.30717888,2.381,2.500,1.200,1.42,6,6
1770561725.9767506,57.83439317,12.30721883,57.83437666,12.30719886,2.381,2.500,1.200,2.80,6,6
1770561726.9729006,57.83439950,12.30721817,57.83438808,12.30720851,2.381,2.500,1.200,2.25,6,6
1770561727.9798117,57.83440333,12.30722167,57.83439571,12.30721509,2.381,2.500,1.200,2.01,6,6
1770561728.9740734,57.83440667,12.30722750,57.83440119,12.30722129,2.381,2.500,1.200,1.76,6,6
