time_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1803.29,57.834460166666666,12.30732,57.83445996758519,12.307321306601015,3.25,2.5,2.5,0.30815947981201053,7,7,Reverse,70.9,4.875,1
1804.34,57.834461,12.307319833333334,57.83446048379259,12.307320569967175,3.25,2.5,2.5,0.24030480174025765,7,7,Reverse,71.4,4.875,1
1805.33,57.8344625,12.307320166666667,57.8344614918963,12.30732036831692,3.25,2.5,2.5,0.23312475736998234,7,7,Reverse,71.6,4.875,1
1806.4,57.834462833333326,12.307320166666667,57.83446216261481,12.307320267491793,3.25,2.5,2.5,0.20987504553642466,7,7,Reverse,72.1,4.875,1
1807.26,57.83446433333334,12.307321333333334,57.83446324797407,12.307320800412564,3.25,2.5,2.5,0.2175704676945822,7,7,Reverse,72.0,4.875,1
1808.26,57.83446466666666,12.307320166666667,57.83446395732037,12.307320483539616,3.25,2.5,2.5,0.20999070204158854,7,7,Reverse,72.4,4.875,1
1809.25,57.83446533333334,12.307318333333335,57.834464645326854,12.307319408436475,3.625,2.5,2.5,0.2531098393751449,6,6,Reverse,72.3,5.4375,1
1810.27,57.83446566666667,12.307318500000001,57.83446515599676,12.307318954218237,3.25,2.5,2.5,0.2864445238829562,7,7,Reverse,72.3,4.875,1
1811.28,57.83446649999999,12.3073205,57.83446582799838,12.30731972710912,3.25,2.5,2.5,0.22797916102549104,7,7,Reverse,72.5,4.875,1
1812.33,57.83446716666667,12.307321000000002,57.83446649733252,12.30732036355456,3.625,2.5,2.5,0.29775116328732637,6,6,Reverse,72.4,5.4375,1
1813.28,57.834468,12.307318833333333,57.834467248666265,12.307319598443947,3.625,2.5,2.5,0.26768777693742124,6,6,Reverse,72.2,5.4375,1
1814.29,57.834468833333325,12.307320166666667,57.834468040999795,12.307319882555307,3.625,2.5,2.5,0.21601775168598608,6,6,Reverse,72.0,5.4375,1
1815.32,57.83447133333334,12.3073245,57.83446968716657,12.307322191277654,3.625,2.5,2.5,0.2797151956724899,6,6,Reverse,71.9,5.4375,1
1816.28,57.834471666666666,12.307325500000001,57.83447067691662,12.307323845638827,3.625,2.5,2.5,0.2439275741965561,6,6,Reverse,72.3,5.4375,1
1817.34,57.83447249999999,12.307327000000003,57.8344715884583,12.307325422819416,3.625,2.5,2.5,0.23813338201585582,6,6,Reverse,72.3,5.4375,1
1818.3,57.834472999999996,12.307326833333331,57.83447229422915,12.307326128076372,3.625,2.5,2.5,0.20150349087474329,6,6,Reverse,72.2,5.4375,1
1819.26,57.83447433333334,12.307329166666667,57.834473313781245,12.30732764737152,3.625,2.5,2.5,0.15106451691636832,6,6,Reverse,72.1,5.4375,1
1820.29,57.834474833333324,12.307330333333335,57.83447407355728,12.307328990352428,3.625,2.5,2.5,0.11811527039198964,6,6,Reverse,72.1,5.4375,1
1821.26,57.834475833333336,12.307331833333334,57.83447495344531,12.30733041184288,3.625,2.5,2.5,0.13270573595398935,6,6,Reverse,72.2,5.4375,1
1822.26,57.834475999999995,12.307332166666667,57.83447547672265,12.307331289254774,3.625,2.5,2.5,0.1144695553608798,6,6,Reverse,72.4,5.4375,1
1823.29,57.8344765,12.307332666666666,57.834475988361326,12.30733197796072,3.625,2.5,2.5,0.144052632593287,6,6,Reverse,72.3,5.4375,1
1824.28,57.834477500000006,12.307333666666667,57.83447674418067,12.307332822313693,3.625,2.5,2.5,0.1265965410951355,6,6,Reverse,72.2,5.4375,1
1825.3,57.834479166666675,12.307334166666665,57.83447795542367,12.307333494490178,3.625,2.5,2.5,0.11499255753073322,6,6,Reverse,72.3,5.4375,1
1826.3,57.834481000000004,12.307334500000001,57.83447947771184,12.30733399724509,3.625,2.5,2.5,0.1195606900931734,6,6,Reverse,72.3,5.4375,1
1827.33,57.834480666666664,12.307334500000001,57.83448007218925,12.307334248622546,3.625,2.5,2.5,0.11487142911072072,6,6,Reverse,72.4,5.4375,1
1828.32,57.834480166666665,12.3073365,57.83448011942796,12.307335374311274,3.625,2.5,2.5,0.1392697440153549,6,6,Reverse,72.6,5.4375,1
1829.29,57.83448083333333,12.307338,57.83448047638064,12.307336687155637,3.625,2.5,2.5,0.14685621055002154,6,6,Reverse,72.8,5.4375,1
1830.28,57.834481000000004,12.307338833333331,57.83448073819032,12.307337760244483,3.625,2.5,2.5,0.1424941943811966,6,6,Reverse,73.0,5.4375,1
1831.25,57.834481000000004,12.307339833333334,57.83448086909517,12.307338796788908,3.625,2.5,2.5,0.13536370630999425,6,6,Reverse,73.0,5.4375,1
1832.32,57.834481833333335,12.307341000000001,57.83448135121425,12.307339898394455,3.625,2.5,2.5,0.1236517325286904,6,6,Reverse,73.2,5.4375,1
1833.26,57.8344825,12.307341666666666,57.83448192560712,12.307340782530561,3.625,2.5,2.5,0.10785207463263381,6,6,Reverse,73.2,5.4375,1
1834.29,57.83448283333334,12.307342000000002,57.83448237947023,12.30734139126528,3.625,2.5,2.5,0.09652054600924455,6,6,Reverse,73.4,5.4375,1
1835.39,57.83448533333333,12.307341666666666,57.83448385640178,12.307341528965974,3.625,2.5,2.5,0.23500430997922678,6,6,Reverse,73.4,5.4375,1
1836.33,57.83448466666667,12.307341333333333,57.83448426153423,12.307341431149654,3.625,2.5,2.5,0.25505114891307307,6,6,Reverse,73.4,5.4375,1
1837.33,57.834484999999994,12.307342000000002,57.83448463076711,12.307341715574827,3.625,2.5,2.5,0.23376117701763555,6,6,Reverse,73.8,5.4375,1
1838.27,57.83448566666666,12.307341333333333,57.83448514871689,12.307341524454081,3.625,2.5,2.5,0.2248202588749394,6,6,Reverse,74.1,5.4375,1
1839.32,57.834486500000004,12.307341833333332,57.834485824358445,12.307341678893707,3.625,2.5,2.5,0.18353186184213113,6,6,Reverse,74.1,5.4375,1
1840.32,57.83448833333333,12.307343166666666,57.83448707884589,12.307342422780186,3.625,2.5,2.5,0.18528522320574245,6,6,Reverse,74.4,5.4375,1
1841.28,57.83448866666666,12.307343500000002,57.83448787275627,12.307342961390093,3.625,2.5,2.5,0.2001046036505929,6,6,Reverse,74.5,5.4375,1
1842.24,57.834489166666664,12.307343,57.83448851971147,12.307342980695047,3.625,2.5,2.5,0.23051923194560078,6,6,Reverse,74.7,5.4375,1
1843.26,57.83449033333333,12.307345833333333,57.834489426522396,12.30734440701419,3.625,2.5,2.5,0.26889590643468303,6,6,Reverse,74.7,5.4375,1
1844.25,57.83449016666667,12.307343166666666,57.83448979659453,12.307343786840427,3.625,2.5,2.5,0.24777863733405311,6,6,Reverse,75.0,5.4375,1
